anio,mes ,valor
2017,1,7.195267181
2017,2,7.73794666
2017,3,7.733986348
2017,4,6.819540607
2017,5,6.603627044
2017,6,6.925025623
2017,7,7.062380833
2017,8,6.676696311
2017,9,6.427929564
2017,10,6.199460916
2017,11,6.560536561
2017,12,6.454948656
2018,1,7.300441235
2018,2,8.027418126
2018,3,8.061365203
2018,4,7.324524555
2018,5,6.636802338
2018,6,6.222985489
2018,7,6.168389163
2018,8,6.084898458
2018,9,6.181887585
2018,10,6.425933368
2018,11,6.247634189
2018,12,6.126947642
2019,1,6.476251848
2019,2,7.559058116
2019,3,8.15790975
2019,4,7.331316936
2019,5,6.709981601
2019,6,6.307995485
2019,7,6.003791869
2019,8,5.827430164
2019,9,5.749808722
2019,10,6.417700862
2019,11,6.32622239
2019,12,6.102196341
2020,1,6.338551932
2020,2,7.068077431
2020,3,7.766433406
2020,4,8.982468373
2020,5,13.12408411
2020,6,16.28004419
2020,7,16.37321937
2020,8,15.56662224
2020,9,16.53162979
2020,10,16.43002028
2020,11,15.12599877
2020,12,13.84037187
2021,1,13.01126899
2021,2,14.49050051
2021,3,15.27903531
2021,4,15.11226787
2021,5,12.02913009
2021,6,10.32186612
2021,7,9.391020662
2021,8,9.538179977
2021,9,9.973118799
2021,10,9.597499473
2021,11,9.092969665
